CharityRegistrationNumber,Name,StreetAddressLine1,StreetAddressLine2,StreetAddressSuburb,StreetAddressCity,StreetAddressPostcode,StreetAddressCountry,Latitude,Longitude
CC55971,Majestic Church Group,Level 2, 40 Walker Street,Christchurch Central,Christchurch,8011,New Zealand,-43.5375943,172.6331016
CC56032,Waiheke Health Trust Group,5 Belgium Street, ,Ostend,Waiheke Island,1081,New Zealand,-36.795761,175.0445066
CC56083,Te Pihopatanga o Aotearoa Group,34 Cobden Street,Gisborne 4010,Ohinemutu,Gisborne,4010,New Zealand,-38.6608162,178.0234218
CC56101,Celebration Centre Group,81 Bickerton Street, ,Wainoni,Christchurch,8061,New Zealand,-43.5192537,172.6940297
CC56111,One Big Adventure Group,397 Henderson Valley Road, ,Henderson Valley,Auckland,612,New Zealand,-36.8977368,174.5873735
CC56176,Wellington Women's Refuge Group,44 Wigan Street,264 Cuba Street,Te Aro,Wellington,6011,New Zealand,-41.2960831,174.7747793
CC56289,Ngati Pahauwera Development Trust Group,74 Queen Street,, ,Wairoa,4108,New Zealand,-39.0346145,177.4213347
CC56384,Cochlear Implant Foundation Group,251 Campbell Road, ,Greenlane,Auckland,1061,New Zealand,-36.8956701,174.7982681
CC56522,Trust Board Of The Brothers Of The Christian Schools In New Zealand Group,81 Gray Avenue, ,Mangere East,Auckland,2024,New Zealand,-36.9648103,174.8372011
CC56592,The Aspen Institute New Zealand,7 Coronation Drive,Queenstown 9300,Dalefield,Queenstown,9300,New Zealand,-45.0329108,168.6637516
CC56750,New Zealand Land Search and Rescue Group,19 Sheffield Crescent, ,Burnside,Christchurch,8053,New Zealand,-43.4919101,172.5607659
CC56758,Ember Group,51 Huia Road, ,Otahuhu,Auckland,1062,New Zealand,-36.9418817,174.8361436
CC56766,BATS Theatre,1 Kent Terrace, ,Mount Victoria,Wellington,6011,New Zealand,-41.2935832,174.7846173
CC56790,National Hauora Coalition Group,"Level 4, ",8 Mahuhu Crescent,Auckland Central,Auckland,1010,New Zealand,-36.8469548,174.77417
CC56826,Central Kids Trust,6 Glenshea Street,, ,Putaruru,3411,New Zealand,-38.0531818,175.7779175
CC56833,SPCA New Zealand ,6 Rawiri Place, ,Hobsonville,Auckland,618,New Zealand,-36.8061975,174.6302974
CC56879,Daren Society,41 Kawau Road, ,Greenlane,Auckland,1061,New Zealand,-36.8992591,174.7974857
CC56965,Breast Cancer Foundation NZ Group,Level 1,8  Cleveland Road,Parnell,Auckland,1052,New Zealand,-36.8517884,174.7833051
CC56990,Hospice Mid Canterbury,70 Havelock Street,Ashburton 7700, ,Ashburton,7700,New Zealand,-43.9004913,171.7444749
CC57171,Huha - Helping You Help Animals Trust Consolidated,68B Marchant Road, ,Kaitoke,Upper Hutt,5018,New Zealand,-41.0816208,175.2114365
CC57275,Maungaturoto Community Charitable Trust Group,136 Hurndall Street East,, ,Maungaturoto,520,New Zealand,-36.1101472,174.3548647
CC57363,Sisters of Our Lady of the Missions,35a Britannia Street, ,Petone,Lower Hutt,5012,New Zealand,-41.2227131,174.8804253
CC57390,Kati Mahaki Ki Makawhio Group,56A Brittan Street,Hokitika 7810, ,Hokitika,7810,New Zealand,-42.7198734,170.9697715
CC57462,Powerhouse Christian Group,5 Wihongi Street,Kaikohe 0405, ,Kaikohe,405,New Zealand,-35.4061387,173.8017499
CC57510,Ngati Apa Ki Te Ra To Group,78 Seymour Street,, ,Blenheim,7201,New Zealand,-41.516417,173.9556762
CC57726,Taupo Moana Group Holdings,27 Turangi Town Centre,, ,Turangi,3334,New Zealand,-38.9882732,175.8088618
CC57734,PGF Group,128 Khyber Pass Road, ,Grafton,Auckland,1023,New Zealand,-36.8646222,174.764974
CC57747,Hugo Charitable Trust Group,93 Arrowtown-Lake Hayes Road,, ,Lake Hayes,9371,New Zealand,-44.976339,168.8167604
CC57919,SCOUTS New Zealand,1 Kaiwharawhara Road, ,Kaiwharawhara,Wellington,6035,New Zealand,-41.2600742,174.7893409
CC58048,Nelson Tasman Hospice Trust Group,331 Suffolk Road,Nelson 7010,Stoke,Nelson,7011,New Zealand,-41.3241308,173.2294999
CC58142,Independent Living Group,14 Erson Avenue, ,Royal Oak,Auckland,1061,New Zealand,-36.9130424,174.7733456
CC58216,Zero Waste Network Group,153 Pilkington Road, ,Point England,Auckland,1072,New Zealand,-36.8880836,174.8570329
CC58217,Trust Horizon Charities Group,5 Richardson Street,, ,Whakatane,3120,New Zealand,-37.9535658,176.994298
CC58314,Ngāi Tai Ki Tāmaki Charitable Investment Trust Group,11 Papakura-Clevedon Road,RD 2,Clevedon,Papakura,2582,New Zealand,-36.9928433,175.0368344
CC58324,C.L.C Auckland Trust Group,14 Normanby Road, ,Mount Eden,Auckland,1024,New Zealand,-36.8709151,174.763414
CC58356,Southland Mature Employment Group,135 Yarrow Street,Invercargill 9810, ,Invercargill,9810,New Zealand,-46.4088072,168.3566121
CC58362,NZAMD Group,53-55 Manchester Street, , ,Feilding,4702,New Zealand,-40.227608,175.5658556
CC58536,Storylines Children's Literature Trust Te Whare Waituhi Tamariki o Aotearoa Group,506 Haruru Road,RD 3, ,Kaukapakapa,873,New Zealand,-36.5860543,174.5512958
CC58539,Hereworth School,118 Te Mata Road,Havelock North 4130, ,Havelock North,4130,New Zealand,-39.6664942,176.889758
CC58690,Youthtown,9 Argus Place, ,Wairau Valley,Auckland,627,New Zealand,-36.7837301,174.7432717
CC58841,Pasifika Medical Association Group,195 Main Highway, ,Ellerslie,Auckland,1051,New Zealand,-36.8996912,174.8143709
CC58840,GWW Academic Dress,Room 109 Murphy Building,34 Kelburn Parade,Kelburn ,Wellington ,6012,New Zealand,-41.2882254,174.7678266
CC58847,The Anglican Diocese of Nelson Group,48 Halifax Street,, ,Nelson,7010,New Zealand,-41.2710979,173.2857485
CC58928,Totara Hospice Group,140 Charles Prevost Drive, ,The Gardens,Auckland,2105,New Zealand,-37.0040464,174.9176915
CC58963,The Presbyterian Church of Aotearoa New Zealand Group,Unit 5,94 Dixon Street,Te Aro,Wellington,6011,New Zealand,-41.2910517,174.7747338
CC59134,Friends Of Motueka Hospital Trust Group,29 Wallace Street,, ,Motueka,7120,New Zealand,-41.1121468,173.0127289
CC59271,Cambridge Elim Group,8 Wordsworth Street, ,Leamington,Cambridge,3432,New Zealand,-37.9011922,175.4725514
CC59293,The Pukaki Trust Group,398 Mount Cook Road,Ben Ohau 7901, ,Ben Ohau,7901,New Zealand,-44.1571816,170.1132682
CC59464,Eduk8,3 Julia Way, ,Beachlands,Auckland,2018,New Zealand,-36.8850526,175.0050761
CC59467,Central Region Localities Group,Level 4,22-28 Willeston Street, ,Wellington,6011,New Zealand,-41.285776,174.7760133
CC59478,AHCTB and RIL,514 Remuera Road, ,Remuera,Auckland,1050,New Zealand,-36.8810876,174.8052541
CC59595,Te Waka Pupuri Group,16 Matthews Avenue,, ,Kaitaia,410,New Zealand,-35.1137444,173.2661219
CC59930,LilyWhites Charitable Trust (Group),2 Fern Glen Road North, ,St Heliers,Auckland,1071,New Zealand,-36.858672,174.8541992
CC60051,Xtreme Zero Waste Group,186 Te Hutewai Road,RD 2, ,Raglan,3296,New Zealand,-37.8248669,174.8533198
CC59865,The Kind Foundation ,12 Hereford Street, ,Christchurch Central,Christchurch,8013,New Zealand,-43.5321491,172.628147
CC59702,Stepping Stone Group,126 Lincoln Road, ,Addington,Christchurch,8024,New Zealand,-43.5495691,172.6021832
CC60016,Community Living Group,180 Collingwood Street, ,Hamilton Lake,Hamilton,3204,New Zealand,-37.7909359,175.2783095
CC60072,Altus Group,246 Puhinui Road, ,Papatoetoe,Auckland,2025,New Zealand,-36.990563,174.8526391
CC59979,ICE Foundation Group,Level 4,117-125 St Georges Bay Road,Parnell,Auckland,1052,New Zealand,-36.8506079,174.7825602
CC59746,GPH Charitable Group,Level 11,34-42 Manners Street,Te Aro,Wellington,6011,New Zealand,-41.2900533,174.7752581
CC60155,Charitable Company Limited Group,93 Heuheu Street,, ,Taupo,3330,New Zealand,-38.6887163,176.0741442
